IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.179.64,443,443,true,FRA,Europe,Frankfurt,253,3.80
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,249,3.77
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,306,3.75
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,80,3.69
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,247,3.67
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,253,3.66
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,255,3.64
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,247,3.59
155.248.202.141,443,443,true,SJC,North America,San Jose,179,3.48
193.123.64.217,443,443,true,CDG,Europe,Paris,91,3.30
144.21.59.156,443,443,true,FRA,Europe,Frankfurt,277,3.28
129.151.152.254,443,443,true,AMS,Europe,Amsterdam,83,3.23
141.147.45.12,443,443,true,FRA,Europe,Frankfurt,307,3.20
130.162.163.33,443,443,true,FRA,Europe,Frankfurt,270,3.11
84.8.148.62,443,443,true,FRA,Europe,Frankfurt,321,3.00
143.47.243.144,8443,443,true,LHR,Europe,London,248,2.88
141.144.204.194,443,443,true,FRA,Europe,Frankfurt,310,2.87
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,250,2.82
130.162.180.5,443,443,true,FRA,Europe,Frankfurt,272,2.75
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,265,2.71
141.147.77.41,443,443,true,FRA,Europe,Frankfurt,271,2.71
143.47.182.56,8443,443,true,AMS,Europe,Amsterdam,255,2.59
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,247,2.56
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,253,2.54
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,247,2.50
132.145.54.84,2053,443,true,LHR,Europe,London,270,2.44
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,247,2.43
132.145.67.220,443,443,true,FRA,Europe,Frankfurt,318,2.25
129.146.254.39,443,443,true,LAX,North America,Los Angeles,215,2.22
141.147.104.111,443,443,true,FRA,Europe,Frankfurt,280,2.20
129.151.152.254,80,80,false,AMS,Europe,Amsterdam,81,2.04
141.148.234.227,443,443,true,FRA,Europe,Frankfurt,306,1.80
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,247,1.77
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,247,1.65
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,253,1.53
140.238.95.92,443,443,true,FRA,Europe,Frankfurt,267,1.47
143.47.182.56,2053,443,true,AMS,Europe,Amsterdam,256,1.30
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,256,1.27
152.70.49.77,443,443,true,FRA,Europe,Frankfurt,381,1.11
143.47.243.144,2053,443,true,LHR,Europe,London,256,1.11
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,316,0.54
193.122.197.111,443,443,true,IAD,North America,Ashburn,265,0.48
150.136.61.148,443,443,true,IAD,North America,Ashburn,268,0.33
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,87,0.30
130.61.87.219,443,443,true,FRA,Europe,Frankfurt,250,0.29
158.101.98.60,2095,443,true,IAD,North America,Ashburn,274,0.24
84.235.173.88,443,443,true,FRA,Europe,Frankfurt,357,0.22
158.180.231.216,443,443,true,MRS,Europe,Marseille,452,0.09
141.148.244.198,443,443,true,FRA,Europe,Frankfurt,322,0.07
138.2.129.80,443,443,true,FRA,Europe,Frankfurt,283,0.03
164.152.34.166,80,8080,false,GRU,South America,São Paulo,364,0.03
138.3.251.87,443,443,true,FRA,Europe,Frankfurt,282,0.02
143.47.182.128,443,443,true,FRA,Europe,Frankfurt,289,0.02
129.151.205.193,443,443,true,ARN,Europe,Stockholm,375,0.02
141.147.7.184,443,443,true,FRA,Europe,Frankfurt,286,0.01
143.47.182.165,443,443,true,FRA,Europe,Frankfurt,367,0.01
149.130.218.26,80,80,false,ORD,North America,Chicago,361,0.01
143.47.235.210,443,443,true,FRA,Europe,Frankfurt,294,0.00
213.35.105.46,443,443,true,SIN,Asia Pacific,Singapore,45,0.00
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,65,0.00
140.238.61.77,443,443,true,NRT,Asia Pacific,Tokyo,68,0.00
152.67.222.167,443,443,true,ICN,Asia Pacific,Seoul,69,0.00
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,70,0.00
150.230.249.48,443,443,true,ICN,Asia Pacific,Seoul,72,0.00
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,72,0.00
141.147.147.28,80,80,false,KIX,Asia Pacific,Osaka,73,0.00
150.230.63.93,443,443,true,KIX,Asia Pacific,Osaka,75,0.00
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,78,0.00
140.238.33.161,443,443,true,NRT,Asia Pacific,Tokyo,78,0.00
140.83.86.166,443,443,true,KIX,Asia Pacific,Osaka,78,0.00
151.145.68.74,443,443,true,NRT,Asia Pacific,Tokyo,79,0.00
168.138.212.87,443,443,true,NRT,Asia Pacific,Tokyo,82,0.00
168.138.215.251,443,443,true,NRT,Asia Pacific,Tokyo,87,0.00
152.70.249.67,443,443,true,ICN,Asia Pacific,Seoul,94,0.00
146.56.167.69,443,443,true,NRT,Asia Pacific,Tokyo,108,0.00
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,119,0.00
152.69.200.206,443,443,true,KIX,Asia Pacific,Osaka,120,0.00
129.153.119.97,443,443,true,LAX,North America,Los Angeles,175,0.00
129.146.2.27,443,443,true,LAX,North America,Los Angeles,215,0.00
150.136.87.192,443,443,true,IAD,North America,Ashburn,241,0.00
141.147.73.148,443,443,true,LHR,Europe,London,266,0.00
130.162.181.198,443,443,true,FRA,Europe,Frankfurt,266,0.00
144.21.51.110,443,443,true,LHR,Europe,London,269,0.00
141.147.114.94,443,443,true,FRA,Europe,Frankfurt,270,0.00
143.47.251.158,443,443,true,FRA,Europe,Frankfurt,278,0.00
141.147.76.152,443,443,true,FRA,Europe,Frankfurt,279,0.00
141.147.108.104,443,443,true,FRA,Europe,Frankfurt,281,0.00
130.162.53.116,443,443,true,FRA,Europe,Frankfurt,299,0.00
89.168.112.1,443,443,true,FRA,Europe,Frankfurt,304,0.00
158.180.12.132,443,443,true,FRA,Europe,Frankfurt,319,0.00
150.230.20.50,443,443,true,FRA,Europe,Frankfurt,359,0.00
